Kabupaten/Kota,Jumlah Sekolah SD (Negeri+Swasta),Jumlah Guru SD (Negeri+Swasta),Jumlah Murid SD (Negeri+Swasta)
Lampung Barat,216,2189,27712
Tanggamus,404,4767,56404
Lampung Selatan,504,5918,97851
Lampung Timur,577,6118,86667
Lampung Tengah,752,8810,121560
Lampung Utara,424,4869,58578
Way Kanan,317,3800,47999
Tulangbawang,220,2937,44081
Pesawaran,301,3297,41947
Pringsewu,266,3045,38181
Mesuji,135,1607,24645
Tulang Bawang Barat,177,2099,29278
Pesisir Barat,128,1795,18102
Kota Bandar Lampung,240,5123,89671
Kota Metro,65,1143,16216
,,,
,,,
Catatan,,,
