Kabupaten/Kota,Jumlah Sekolah SD (Negeri+Swasta),Jumlah Guru SD (Negeri+Swasta),Jumlah Murid SD (Negeri+Swasta)
Lampung Barat,216,2090,28176
Tanggamus,409,4554,57359
Lampung Selatan,499,5916,97412
Lampung Timur,576,6061,90353
Lampung Tengah,746,8288,126102
Lampung Utara,434,4796,59920
Way Kanan,314,3566,48829
Tulangbawang,218,2734,45228
Pesawaran,315,3182,42291
Pringsewu,265,2863,38998
Mesuji,135,1633,24499
Tulang Bawang Barat,175,1972,29937
Pesisir Barat,126,1593,17923
Kota Bandar Lampung,240,4968,90737
Kota Metro,63,1094,16151
